antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'Adventure, Family, Fantasy'})","frozenset({'Action, Adventure, Sci-Fi'})",0.040268456375838924,0.20469798657718122,0.016778523489932886,0.4166666666666667,2.0355191256830603,0.008535651547227602,1.3633748801534038
"frozenset({'Comedy, Drama, Romance'})",frozenset({'Comedy'}),0.08053691275167785,0.08389261744966443,0.013422818791946308,0.16666666666666669,1.9866666666666668,0.006666366379892798,1.0993288590604027
frozenset({'Comedy'}),"frozenset({'Comedy, Drama, Romance'})",0.08389261744966443,0.08053691275167785,0.013422818791946308,0.15999999999999998,1.9866666666666666,0.006666366379892798,1.0945989133908596
"frozenset({'Action, Adventure, Sci-Fi'})","frozenset({'Action, Thriller'})",0.20469798657718122,0.0436241610738255,0.016778523489932886,0.08196721311475409,1.8789407313997477,0.007848745552002162,1.0417665388302972
"frozenset({'Action, Thriller'})","frozenset({'Action, Adventure, Sci-Fi'})",0.0436241610738255,0.20469798657718122,0.016778523489932886,0.38461538461538464,1.8789407313997477,0.007848745552002162,1.2923657718120805
"frozenset({'Crime, Drama, Mystery'})","frozenset({'Action, Adventure, Sci-Fi'})",0.0436241610738255,0.20469798657718122,0.013422818791946308,0.3076923076923077,1.5031525851197982,0.004493040854015584,1.1487695749440716
"frozenset({'Action, Adventure, Sci-Fi'})","frozenset({'Crime, Drama, Mystery'})",0.20469798657718122,0.0436241610738255,0.013422818791946308,0.06557377049180327,1.503152585119798,0.004493040854015584,1.023489932885906
"frozenset({'Biography, Drama'})","frozenset({'Action, Adventure, Sci-Fi'})",0.03355704697986577,0.20469798657718122,0.010067114093959731,0.3,1.4655737704918033,0.0031980541417053277,1.1361457334611698
"frozenset({'Action, Adventure, Sci-Fi'})","frozenset({'Biography, Drama'})",0.20469798657718122,0.03355704697986577,0.010067114093959731,0.04918032786885245,1.465573770491803,0.0031980541417053277,1.016431381624624
"frozenset({'Action, Adventure, Comedy'})","frozenset({'Action, Adventure, Sci-Fi'})",0.07046979865771812,0.20469798657718122,0.020134228187919462,0.2857142857142857,1.3957845433255267,0.005709202288185215,1.1134228187919464
"frozenset({'Action, Adventure, Sci-Fi'})","frozenset({'Action, Adventure, Comedy'})",0.20469798657718122,0.07046979865771812,0.020134228187919462,0.0983606557377049,1.3957845433255267,0.005709202288185215,1.0309334960341672
