movie_name,year_released,runtime_in_min,genre,revenues,imdb_rating,user_votes,director,actor
The VVitch: A New-England Folktale,2015,92,"Drama, Horror, Mystery",25138292.0,6.9,185169,Paul Feig,"Melissa McCarthy, Kristen Wiig, Kate McKinnon, Leslie Jones"
Ted 2,2015,115,Comedy,81476385.0,6.3,178520,Thea Sharrock,"Emilia Clarke, Sam Claflin, Janet McTeer, Charles Dance"
Straight Outta Compton,2015,147,"Biography, Drama, History",161197785.0,7.9,174664,David Mackenzie,"Chris Pine, Ben Foster, Jeff Bridges, Gil Birmingham"
Jupiter Ascending,2015,127,"Action, Adventure, Sci-Fi",47387723.0,5.3,174534,Theodore Melfi,"Taraji P. Henson, Octavia Spencer, Janelle Monáe, Kevin Costner"
Tomorrowland,2015,130,"Action, Adventure, Family",93436322.0,6.4,168457,Justin Kurzel,"Michael Fassbender, Marion Cotillard, Jeremy Irons, Brendan Gleeson"
Black Mass,2015,123,"Biography, Crime, Drama",62575678.0,6.9,163512,Antoine Fuqua,"Denzel Washington, Chris Pratt, Ethan Hawke, Vincent D'Onofrio"
The Danish Girl,2015,119,"Biography, Drama, Romance",11114018.0,7.1,158033,Matt Ross,"Viggo Mortensen, George MacKay, Samantha Isler, Annalise Basso"
Cinderella,2015,105,"Drama, Family, Fantasy",201151353.0,6.9,154076,"Chris Renaud, Yarrow Cheney","Louis C.K., Eric Stonestreet, Kevin Hart, Lake Bell"
Legend,2015,132,"Biography, Crime, Drama",1872994.0,6.9,151821,Makoto Shinkai,"Ryûnosuke Kamiki, Mone Kamishiraishi, Ryô Narita, Aoi Yûki"
The Age of Adaline,2015,112,"Drama, Fantasy, Romance",42478175.0,7.2,149144,"Greg Tiernan, Conrad Vernon","Seth Rogen, Kristen Wiig, Jonah Hill, Alistair Abell"
Steve Jobs,2015,122,"Biography, Drama",17766658.0,7.2,148760,Todd Phillips,"Jonah Hill, Miles Teller, Steve Lantz, Gregg Weiner"
Deadpool,2016,108,"Action, Adventure, Comedy",363070709.0,8.0,875001,Jordan Vogt-Roberts,"Tom Hiddleston, Samuel L. Jackson, Brie Larson, John C. Reilly"
Captain America: Civil War,2016,147,"Action, Adventure, Sci-Fi",408084349.0,7.8,637586,"Joachim Rønning, Espen Sandberg","Johnny Depp, Geoffrey Rush, Javier Bardem, Orlando Bloom"
Batman v Superman: Dawn of Justice,2016,151,"Action, Adventure, Sci-Fi",330360194.0,6.5,607535,Ridley Scott,"Michael Fassbender, Katherine Waterston, Billy Crudup, Danny McBride"
Suicide Squad,2016,123,"Action, Adventure, Fantasy",325100054.0,6.0,581195,Greta Gerwig,"Saoirse Ronan, Laurie Metcalf, Tracy Letts, Lucas Hedges"
Doctor Strange,2016,115,"Action, Adventure, Fantasy",232641920.0,7.5,571934,Michael Gracey,"Hugh Jackman, Michelle Williams, Zac Efron, Zendaya"
Arrival,2016,116,"Drama, Mystery, Sci-Fi",100546139.0,7.9,568484,Matt Reeves,"Andy Serkis, Woody Harrelson, Steve Zahn, Karin Konoval"
Rogue One,2016,133,"Action, Adventure, Sci-Fi",532177324.0,7.8,533448,Kenneth Branagh,"Kenneth Branagh, Penélope Cruz, Willem Dafoe, Judi Dench"
La La Land,2016,128,"Comedy, Drama, Music",151101803.0,8.0,481384,Daniel Espinosa,"Jake Gyllenhaal, Rebecca Ferguson, Ryan Reynolds, Hiroyuki Sanada"
Zootopia,2016,108,"Animation, Adventure, Comedy",341268248.0,8.0,416431,F. Gary Gray,"Vin Diesel, Jason Statham, Dwayne Johnson, Michelle Rodriguez"
Hacksaw Ridge,2016,139,"Biography, Drama, History",67209615.0,8.1,411682,Luca Guadagnino,"Armie Hammer, Timothée Chalamet, Michael Stuhlbarg, Amira Casar"
Split,2016,117,"Horror, Thriller",138291365.0,7.3,403712,Rupert Sanders,"Scarlett Johansson, Pilou Asbæk, Takeshi Kitano, Juliette Binoche"
Fantastic Beasts and Where to Find Them,2016,132,"Adventure, Family, Fantasy",234037575.0,7.3,394634,Guy Ritchie,"Charlie Hunnam, Astrid Bergès-Frisbey, Jude Law, Djimon Hounsou"
X-Men: Apocalypse,2016,144,"Action, Adventure, Sci-Fi",155442489.0,6.9,381318,Darren Aronofsky,"Jennifer Lawrence, Javier Bardem, Ed Harris, Michelle Pfeiffer"
Passengers,2016,116,"Drama, Romance, Sci-Fi",100014699.0,7.0,336461,Patrick Hughes,"Ryan Reynolds, Samuel L. Jackson, Gary Oldman, Elodie Yung"
10 Cloverfield Lane,2016,103,"Drama, Horror, Mystery",72082998.0,7.2,280431,Craig Gillespie,"Margot Robbie, Sebastian Stan, Allison Janney, Julianne Nicholson"
The Nice Guys,2016,116,"Action, Comedy, Crime",36261763.0,7.4,265829,David Leitch,"Charlize Theron, James McAvoy, John Goodman, Eddie Marsan"
Moonlight,2016,111,Drama,27850912.0,7.4,259090,Alex Kurtzman,"Tom Cruise, Sofia Boutella, Annabelle Wallis, Russell Crowe"
Moana,2016,107,"Animation, Adventure, Comedy",248757044.0,7.6,255443,Joe Wright,"Gary Oldman, Lily James, Kristin Scott Thomas, Ben Mendelsohn"
The Jungle Book,2016,106,"Adventure, Drama, Family",364001123.0,7.4,253020,Luc Besson,"Dane DeHaan, Cara Delevingne, Clive Owen, Rihanna"
The Accountant,2016,128,"Action, Crime, Drama",86260045.0,7.3,251043,Seth Gordon,"Dwayne Johnson, Zac Efron, Alexandra Daddario, Priyanka Chopra"
Now You See Me 2,2016,129,"Action, Adventure, Comedy",65075540.0,6.5,237814,Doug Liman,"Tom Cruise, Domhnall Gleeson, Sarah Wright, Jesse Plemons"
Warcraft,2016,123,"Action, Adventure, Fantasy",47365290.0,6.8,236744,James Mangold,"Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook"
Manchester by the Sea,2016,137,Drama,47695120.0,7.8,235495,Taika Waititi,"Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Mark Ruffalo"
Finding Dory,2016,97,"Animation, Adventure, Comedy",486295561.0,7.3,231063,James Gunn,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel"
Nocturnal Animals,2016,116,"Drama, Thriller",10639114.0,7.5,226368,Rian Johnson,"Daisy Ridley, John Boyega, Mark Hamill, Carrie Fisher"
Sully,2016,96,"Biography, Drama",125070033.0,7.4,226248,Patty Jenkins,"Gal Gadot, Chris Pine, Robin Wright, Lucy Davis"
